indexer  | time="2026-05-28T23:28:10.951Z" level=info msg="Restored 13 escrows from state" pid=7
indexer  | time="2026-05-28T23:28:13.327Z" level=info msg="DEBUG instance contract=CBTVRC6X5Q6KJGAC7SOQHAKBQS4RS5MTOERWKPH5M5OF6FLGVCO6OOHC wasmHash=e0858cb252a9e7208a8c28863c8455eb25742ddacb3847d1ac2452c23babd06f approved=false" pid=7
indexer  | time="2026-05-28T23:28:13.327Z" level=info msg="DEBUG instance contract=CAESC7SC5EW5P2P3IM5Q7E64ZNDATVSN5F57NTCH5E7GJRPDM76KF7QM wasmHash=2c85541747b35d0603bb2cf0bb49e228aa083f8ec9a531b7f3307003b124de66 approved=false" pid=7
indexer  | time="2026-05-28T23:28:13.327Z" level=info msg="DEBUG instance contract=CAKOTCLUU2ZTZQZWQG4UHUTWVIXGIE2QE4NFQRBZDYLVBMDCIXR4XY4A wasmHash=b06b3414f808f120882908aa4ebc6b21e3c8cb7a63bd6041e8dd07a0a8750bb9 approved=false" pid=7
indexer  | time="2026-05-28T23:28:13.327Z" level=info msg="DEBUG instance contract=CAESC7SC5EW5P2P3IM5Q7E64ZNDATVSN5F57NTCH5E7GJRPDM76KF7QM wasmHash=2c85541747b35d0603bb2cf0bb49e228aa083f8ec9a531b7f3307003b124de66 approved=false" pid=7
indexer  | time="2026-05-28T23:28:13.327Z" level=info msg="DEBUG instance contract=CCNNEIHURTEROE7T34V2E5BDEPOLRBGZEB3V3A5F6A563IQR2E6VA5RV wasmHash=e0858cb252a9e7208a8c28863c8455eb25742ddacb3847d1ac2452c23babd06f approved=false" pid=7
indexer  | time="2026-05-28T23:28:13.330Z" level=info msg="Processed ledger 2800049 in 3.137958ms — known_escrows=13 escrow_events=0 state_changes=0" pid=7
indexer  | time="2026-05-28T23:28:17.829Z" level=info msg="DEBUG instance contract=CBTVRC6X5Q6KJGAC7SOQHAKBQS4RS5MTOERWKPH5M5OF6FLGVCO6OOHC wasmHash=e0858cb252a9e7208a8c28863c8455eb25742ddacb3847d1ac2452c23babd06f approved=false" pid=7
indexer  | time="2026-05-28T23:28:17.829Z" level=info msg="DEBUG instance contract=CAKOTCLUU2ZTZQZWQG4UHUTWVIXGIE2QE4NFQRBZDYLVBMDCIXR4XY4A wasmHash=b06b3414f808f120882908aa4ebc6b21e3c8cb7a63bd6041e8dd07a0a8750bb9 approved=false" pid=7
indexer  | time="2026-05-28T23:28:17.829Z" level=info msg="DEBUG instance contract=CAESC7SC5EW5P2P3IM5Q7E64ZNDATVSN5F57NTCH5E7GJRPDM76KF7QM wasmHash=2c85541747b35d0603bb2cf0bb49e228aa083f8ec9a531b7f3307003b124de66 approved=false" pid=7
indexer  | time="2026-05-28T23:28:17.829Z" level=info msg="DEBUG instance contract=CCNNEIHURTEROE7T34V2E5BDEPOLRBGZEB3V3A5F6A563IQR2E6VA5RV wasmHash=e0858cb252a9e7208a8c28863c8455eb25742ddacb3847d1ac2452c23babd06f approved=false" pid=7
